FFE0:  78         SEI                        00 00 00 [..I..] FD
FFE1:  EE E1 FF   INC  $FFE1     [FFE1=EE]   00 00 00 [..I..] FD
FFE4:  4C 00 C0   JMP  $C000     [C000=D8]   00 00 00 [N.I..] FD
C000:  D8         CLD                        00 00 00 [N.I..] FD
C001:  A9 10      LDA  #$10                  00 00 00 [N.I..] FD
C003:  8D 00 20   STA  $2000     [2000=??]   10 00 00 [..I..] FD
C006:  A9 00      LDA  #$00                  10 00 00 [..I..] FD
C008:  8D 01 20   STA  $2001     [2001=??]   00 00 00 [..IZ.] FD
C00B:  A2 FF      LDX  #$FF                  00 00 00 [..IZ.] FD
C00D:  9A         TXS                        00 FF 00 [N.I..] FD
C00E:  A2 02      LDX  #$02                  00 FF 00 [N.I..] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..I..] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 02 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 02 00 [..IZ.] FF
